tx_hash,time,value_btc,n_inputs,n_outputs,fee_btc,from,to,is_error
0x71b539f5a53da384aea407d0f341c79b42ee7de64b010945de0c3568f782d5c5,2024-07-24 20:40:35,0.0073712,1,1,6.7186581588e-05,0x503828976d22510aad0201ac7ec88293211d23da,0xb0fad062d44225de50c9ccb5ae83036a4fc356b4,0
0xdbe5e69478c5f451ae8457dd6f6d2613d84c6f76f7788c5e1f7ff3aecc4a2dec,2024-07-24 20:38:47,0.02895795,1,1,6.8794921167e-05,0x503828976d22510aad0201ac7ec88293211d23da,0x02e9fb6d396f2c9d2f085b4298f86341bb68cdaf,0
0x1a160d35c87fc5f206711e2e4dfc3e5cf9f1b85ad3adc2af9c1419e9c5d4d96f,2024-07-24 20:38:11,0.046,1,1,6.9813389373e-05,0x503828976d22510aad0201ac7ec88293211d23da,0x5637ff15211231b9abe60ceb9824539c53df5736,0
0x9b243264f41efbca5fba191d9a1dbfbb7694cc56ae412af4db3d1acf99aebf66,2024-07-24 20:37:59,0.02256079,1,1,6.6588875661e-05,0x503828976d22510aad0201ac7ec88293211d23da,0xc59455bd4ba0fcf948deb144f6da3c982ae81de1,0
0x4cf1191d7a3e0c663550ff135258156b8c1baed2fa1af59d81b265e1dfcac897,2024-07-24 20:36:47,0.03123993,1,1,6.6750075126e-05,0x503828976d22510aad0201ac7ec88293211d23da,0xda8dd973645a46efc284f8dbbd3df7d1c6f94f0c,0
0x9c93d4b8c2cbe78dd140ff4083ab067357416285b38b6a12761447aa15efa514,2024-07-24 20:34:35,0.0326039,1,1,6.2867351757e-05,0x503828976d22510aad0201ac7ec88293211d23da,0x86426776c0c11cf693f1c168023b67d1f6be0b65,0
0x18789648b5feaa0db8055021f4044a753e1bee34382ab86ae9a8f36e176fbf5e,2024-07-24 20:34:35,0.04062238,1,1,6.2867351757e-05,0x503828976d22510aad0201ac7ec88293211d23da,0x58fd7a58ee6445d036f524d2d83fc02f065aa20a,0
0x6cc1229e98caa43f388e04cddb9bcfa4c3590049dc728f9008e8d4d7304072f9,2024-07-24 20:33:47,0.00599952,1,1,6.3498632106e-05,0x503828976d22510aad0201ac7ec88293211d23da,0x0dd38e706d27022d7d8111844327ccc6d2e7efb9,0
0x702e259e8238554d5e4b1e483a15767aa017bddcd931887a3bde7f0fae560fc2,2024-07-24 20:33:47,0.02981156,1,1,6.3498632106e-05,0x503828976d22510aad0201ac7ec88293211d23da,0xf8c65fd6d1646b8140735a34af483051d904d851,0
0xbd13ca13abc91665c984675d89ed7d01805cf4247f7dc574476fcc4b12e5ef76,2024-07-24 20:33:35,0.01902287,1,1,6.3007554015e-05,0x503828976d22510aad0201ac7ec88293211d23da,0xea9522bc9e2986b387319bc76e9d2e1ffc20dfc4,0
0x4f6d341d7e0dfd62e70037063fba4160fa38a742d56d909f45a7634c43d3533e,2024-07-24 20:31:59,0.0030003,1,1,6.8491594626e-05,0x503828976d22510aad0201ac7ec88293211d23da,0x674781d71a907b3d8b1787afd2d3e1f140f34d80,0
0x2e3a4bb7823d872f21374e5a73b15c8a45ae7cd162d2d0d04b860ec6c514f33b,2024-07-24 20:30:35,0.00749256,1,1,6.5251379277e-05,0x503828976d22510aad0201ac7ec88293211d23da,0xd3d128647d8209c29a40d3197a432cf3c677239d,0
0x303b5d6a7f3e1e31d46f0b588bc2d346511be3a48af36f7fae3393be0c465e3a,2024-07-24 20:28:47,0.01033999,1,1,5.9423159481e-05,0x503828976d22510aad0201ac7ec88293211d23da,0x1250a5d8e0c7a4297cf44f2c4db769807a53daa8,0
0x594bfb73a837195898e1d27958e2877bb2a3b9ce0b809701118f046b44a52e7f,2024-07-24 20:28:47,0.02995362,1,1,5.9423159481e-05,0x503828976d22510aad0201ac7ec88293211d23da,0x20dc3eaef8fd1b843b051f8fb56724c3639ac7af,0
0x44f90dcd9a65b61ea648aaf4921c119dd74063f0d8f9854a832c6df1827638af,2024-07-24 20:26:47,0.0149701,1,1,6.3297903837e-05,0x503828976d22510aad0201ac7ec88293211d23da,0xd46a11f8a6b020a85589dde8433685debb03e130,0
0xa80f6d1fb5f61c349a23ba93a23e6b6665877ad635bd22262c3a476c26b4acde,2024-07-24 20:22:35,0.00457,1,1,6.1778028375e-05,0x503828976d22510aad0201ac7ec88293211d23da,0x090eb888388bfcdabbbdfb4efa7b036e8e201248,0
